id,name,display_name,production_year,movie_sequel,creative_type,source,production_method,genre,language,board_rating_reason,movie_board_rating_display_name,movie_release_pattern_display_name,total,Category
59530115,Iron Man 2,Iron Man 2,2010,1,Super Hero,Based on Comic/Graphic Novel,Live Action,Adventure,English,"for sequences of intense sci-fi action and violence, and some language",PG-13,Wide,624,8
50030115,Hancock,Hancock,2008,0,Super Hero,Original Screenplay,Live Action,Action,English,"for some intense sequences of sci-fi action and violence, and language.",PG-13,Wide,624,8
96520115,Ratatouille,Ratatouille,2007,0,Kids Fiction,Original Screenplay,Digital Animation,Comedy,English,General,G,Wide,620,8
73460115,Mamma Mia,Mamma Mia!,2008,0,Contemporary Fiction,Based on Musical or Opera,Live Action,Musical,English,for some sex-related comments.,PG-13,Wide,603,8
72610115,Madagascar: Escape 2 Africa,Madagascar: Escape 2 Africa,2008,1,Kids Fiction,Original Screenplay,Digital Animation,Comedy,English,for some mild crude humor,PG,Wide,600,8
95320115,Quantum of Solace,Quantum of Solace,2008,1,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Action,English,"for intense sequences of violence and action, and some sexual content",PG-13,Wide,592,8
145910115,Tangled,Tangled,2010,0,Kids Fiction,Based on Folk Tale/Legend/Fairytale,Digital Animation,Adventure,English,for brief mild violence,PG,Wide,587,8
50170115,"Hangover 2, The",The Hangover Part II,2011,1,Contemporary Fiction,Original Screenplay,Live Action,Comedy,English,"for pervasive language, strong sexual content including graphic nudity, drug use and brief violent images.",R,Wide,586,8
56130115,I am Legend,I am Legend,2007,0,Science Fiction,Based on Fiction Book/Short Story,Live Action,Horror,English,for intense sequences of sci-fi action and violence,PG-13,Wide,585,8
59520115,Iron Man,Iron Man,2008,0,Super Hero,Based on Comic/Graphic Novel,Live Action,Action,English,"for some intense sequences of sci-fi action and violence, and brief suggestive content",PG-13,Wide,582,8
108020115,"Smurfs, The",The Smurfs,2011,0,Kids Fiction,Based on TV,Animation/Live Action,Adventure,English,for mild rude humor and action.,PG,Wide,563,8
19500115,Cars 2,Cars 2,2011,1,Kids Fiction,Original Screenplay,Digital Animation,Adventure,English,General,G,Wide,560,8
95190115,Puss in Boots,Puss in Boots,2011,0,Kids Fiction,Spin-Off,Digital Animation,Adventure,English,"for some adventures, action and mild rude humor.",PG,Wide,555,8
30200115,Despicable Me,Despicable Me,2010,0,Kids Fiction,Original Screenplay,Digital Animation,Comedy,English,for rude humor and mild action,PG,Wide,543,8
139790115,Sherlock Holmes 2,Sherlock Holmes: A Game of Shadows,2011,1,Historical Fiction,Based on Fiction Book/Short Story,Live Action,Action,English,"for intense sequences of violence and action, and some drug material.",PG-13,Wide,534,8
125550115,WALL-E,WALL-E,2008,0,Science Fiction,Original Screenplay,Digital Animation,Adventure,English,General,G,Wide,533,8
106640115,"Simpsons Movie, The",The Simpsons Movie,2007,0,Contemporary Fiction,Based on TV,Digital Animation,Comedy,English,for irreverent humor throughout,PG-13,Wide,527,8
105190115,Sherlock Holmes,Sherlock Holmes,2009,0,Historical Fiction,Based on Fiction Book/Short Story,Live Action,Adventure,English,"For intense sequences of violence and action, some startling images and a scene of suggestive material",PG-13,Wide,524,8
147320115,Ted,Ted,2011,0,Contemporary Fiction,Original Screenplay,Animation/Live Action,Comedy,English,"for crude and sexual content, pervasive language, and some drug use.",R,Wide,504,8
55440115,How to Train Your Dragon,How to Train Your Dragon,2010,0,Fantasy,Based on Fiction Book/Short Story,Digital Animation,Comedy,English,"for sequences of intense action and some scary images, and brief mild language",PG,Wide,495,8
22600115,Clash of the Titans (2010),Clash of the Titans,2010,0,Fantasy,Remake,Live Action,Action,English,"for fantasy action violence, some frightening images and brief sensuality",PG-13,Wide,493,8
5780115,Angels and Demons,Angels & Demons,2009,1,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Thriller/Suspense,English,"for sequences of violence, disturbing images and thematic material",PG-13,Wide,491,8
98800115,Rio,Rio,2011,0,Kids Fiction,Original Screenplay,Digital Animation,Adventure,English,for mild off color humor.,PG,Wide,488,8
136740115,Rise of the Apes,Rise of the Planet of the Apes,2011,0,Science Fiction,Remake,Animation/Live Action,Adventure,English,for intense and frightening sequences of action and violence.,PG-13,Wide,483,8
50160115,Hangover,The Hangover,2009,0,Contemporary Fiction,Original Screenplay,Live Action,Comedy,English,"For pervasive language, sexual content including nudity, and some drug material",R,Wide,470,8
82580115,National Treasure: The Book of Secrets,National Treasure: The Book of Secrets,2007,1,Contemporary Fiction,Original Screenplay,Live Action,Adventure,English,for some violence and action,PG,Wide,457,8
980115,300,300,2007,0,Historical Fiction,Based on Comic/Graphic Novel,Animation/Live Action,Action,English,"for graphic battle sequences throughout, some sexuality and nudity.",R,Wide,456,8
117380115,Thor,Thor,2011,0,Super Hero,Based on Comic/Graphic Novel,Live Action,Action,English,for sequences of intense sci-fi action and violence.,PG-13,Wide,449,7
4240115,Alvin and the Chipmunks 2,Alvin and the Chipmunks: The Squeakquel,2009,1,Kids Fiction,Based on TV,Animation/Live Action,Comedy,English,for some mild rude humor,PG,Wide,443,7
15550115,"Bourne Ultimatum, The",The Bourne Ultimatum,2007,1,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Thriller/Suspense,English,for violence and intense sequences of action,PG-13,Wide,442,7
139360115,Kings Speech The,The King's Speech,2010,0,Dramatization,Original Screenplay,Live Action,Drama,English,for some language.,R,Expands Wide,427,7
160300115,Intouchables Les,Les Intouchables,2011,0,Contemporary Fiction,Original Screenplay,Live Action,Comedy,French,for language and some drug use.,R,Limited,421,7
21920115,"Chronicles of Narnia: Prince Caspian, The",The Chronicles of Narnia: Prince Caspian,2008,1,Fantasy,Based on Fiction Book/Short Story,Animation/Live Action,Adventure,English,for epic battle action and violence.,PG,Wide,419,7
21940115,"Chronicles of Narnia: The Voyage of the Dawn Treader, The",The Chronicles of Narnia: The Voyage of the Dawn Treader,2010,1,Fantasy,Based on Fiction Book/Short Story,Animation/Live Action,Adventure,English,for some frightening images and sequences of fantasy action.,PG,Wide,418,7
104250115,Sex and the City,Sex and the City,2008,0,Contemporary Fiction,Based on TV,Live Action,Comedy,English,"for strong sexual content, graphic nudity and language.",R,Wide,415,7
83610115,Night at the Museum 2: Escape from the Smithsonian,Night at the Museum: Battle of the Smithsonian,2009,1,Fantasy,Based on Fiction Book/Short Story,Live Action,Comedy,English,For mild action and brief language,PG,Wide,413,7
148320115,Snow White and the Huntsman,Snow White and the Huntsman,2011,0,Fantasy,Based on Folk Tale/Legend/Fairytale,Live Action,Adventure,English,"for intense sequences of violence and action, and brief sensuality.",PG-13,Wide,401,7
149710115,Prometheous,Prometheus,2011,0,Science Fiction,Original Screenplay,Live Action,Horror,English,"for sci-fi violence including some intense images, and brief language.",R,Wide,399,7
121470115,Twilight (2008),Twilight,2008,0,Fantasy,Based on Fiction Book/Short Story,Live Action,Drama,English,for some violence and a scene of sensuality,PG-13,Wide,398,7
120620115,Tron: Legacy,Tron: Legacy,2010,1,Science Fiction,Original Screenplay,Live Action,Adventure,English,for sequences of sci-fi action violence and brief mild language.,PG,Wide,398,7
80460115,"Mummy: Tomb of the Dragon Emperor, The",The Mummy: Tomb of the Dragon Emperor,2008,1,Fantasy,Remake,Live Action,Adventure,English,for adventure action and violence.,PG-13,Wide,398,7
68730115,Life of Pi,Life of Pi,2011,0,Fantasy,Based on Fiction Book/Short Story,Live Action,Drama,English,"for emotional thematic content throughout, and some scary action sequences and peril.",PG,Wide,394,7
110700115,Star Trek XI,Star Trek,2009,1,Science Fiction,Based on TV,Live Action,Adventure,English,"for sci-fi action and violence, and brief sexual content",PG-13,Wide,386,7
69790115,Live Free or Die Hard,Live Free or Die Hard,2007,1,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Action,English,"for intense sequences of violence and action, language and a brief sexual situation",PG-13,Wide,384,7
78960115,Monsters vs. Aliens,Monsters vs. Aliens,2009,0,Kids Fiction,Based on Comic/Graphic Novel,Digital Animation,Adventure,English,"For sci-fi action, some crude humor and mild language",PG,Wide,382,7
107740115,Slumdog Millionaire,Slumdog Millionaire,2008,0,Contemporary Fiction,Original Screenplay,Live Action,Drama,English,"for some violence, disturbing images and language",R,Limited,376,7
130450115,X-Men Origins: Wolverine,X-Men Origins: Wolverine,2009,0,Super Hero,Spin-Off,Live Action,Action,English,"for intense sequences of action and violence, and some partial nudity",PG-13,Wide,375,7
2490115,Adventures of Tintin: Secret of the Unicorn,The Adventures of Tintin,2011,0,Contemporary Fiction,Based on Comic/Graphic Novel,Digital Animation,Adventure,English,"for adventure action violence, some drunkenness and brief smoking.",PG,Wide,374,7
116260115,Terminator Salvation: The Future Begins,Terminator Salvation: The Future Begins,2009,1,Science Fiction,Original Screenplay,Live Action,Action,English,"For intense sequences of sci-fi violence and action, and language",PG-13,Wide,372,7
53280115,His Dark Materials: The Golden Compass,His Dark Materials: The Golden Compass,2007,0,Fantasy,Based on Fiction Book/Short Story,Live Action,Adventure,English,for sequences of fantasy violence.,PG-13,Wide,372,7
19070115,Captain America,Captain America: The First Avenger,2011,0,Super Hero,Based on Comic/Graphic Novel,Live Action,Action,English,for intense sequences of sci-fi violence and action.,PG-13,Wide,371,7
144870115,Taken 2,Taken 2,2011,1,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense,English,"for intense sequences of violence and action, and some sensuality.",PG-13,Wide,369,7
38790115,"Fast and the Furious 4, The",Fast & Furious,2009,1,Contemporary Fiction,Based on Factual Book/Article,Live Action,Action,English,"for intense sequences of violence and action, some sexual content, language and drug references",PG-13,Wide,363,7
4230115,Alvin and the Chipmunks,Alvin and the Chipmunks,2007,0,Kids Fiction,Based on TV,Animation/Live Action,Comedy,English,for some mild rude humor,PG,Wide,361,7
65360115,Kung Fu Kid,The Karate Kid,2009,0,Contemporary Fiction,Remake,Live Action,Adventure,English,"for bullying, martial arts action violence and some mild language",PG,Wide,359,7
140060115,X Men First Class,X-Men: First Class,2011,1,Super Hero,Based on Comic/Graphic Novel,Live Action,Action,English,"for intense sequences of action and violence, some sexual content including brief partial nudity and language.",PG-13,Wide,355,7
135430115,"Lorax, The",Doctor Seuss' The Lorax,2011,0,Kids Fiction,Based on Fiction Book/Short Story,Digital Animation,Adventure,English,for brief mild language.,PG,Wide,350,7
125690115,Wanted,Wanted,2008,0,Science Fiction,Based on Comic/Graphic Novel,Live Action,Action,English,"for strong bloody violence throughout, pervasive language and some sexuality.",R,Wide,343,7
35640115,Enchanted,Enchanted,2007,0,Fantasy,Original Screenplay,Animation/Live Action,Romantic Comedy,English,for some scary images and mild innuendo,PG,Wide,340,7
146810115,Alvin and the Chipmunks Chip Wrecked,Alvin and the Chipmunks: Chipwrecked,2011,1,Kids Fiction,Based on TV,Animation/Live Action,Comedy,English,General,G,Wide,337,7
93880115,Prince of Persia: Sands of Time,Prince of Persia: Sands of Time,2010,0,Fantasy,Based on Game,Live Action,Action,English,For intense sequences of violence and action,PG-13,Wide,335,7
26750115,"Curious Case of Benjamin Button, The",The Curious Case of Benjamin Button,2008,0,Fantasy,Based on Fiction Book/Short Story,Live Action,Drama,English,"for brief war violence, sexual content, language and smoking",PG-13,Wide,330,7
136440115,Black Swan,Black Swan,2010,0,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense,English,"for strong sexual content, disturbing violent images, language and some drug use.",R,Limited,329,7
21810115,"Christmas Carol, A (2009)",Disney's A Christmas Carol,2009,0,Fantasy,Remake,Digital Animation,Drama,English,for scary sequences and images,PG,Wide,324,7
144100115,Megamind,Megamind,2010,0,Kids Fiction,Original Screenplay,Digital Animation,Adventure,English,for action and some language.,PG,Wide,322,7
133300115,Robin Hood (2010),Robin Hood,2010,0,Historical Fiction,Based on Folk Tale/Legend/Fairytale,Live Action,Action,English,"for violence including intense sequences of warfare, and some sexual content",PG-13,Wide,322,7
66270115,"Last Airbender, The",The Last Airbender,2010,0,Fantasy,Based on TV,Live Action,Adventure,English,For fantasy action violence.,PG,Wide,320,7
54740115,Hotel Transylvania,Hotel Transylvania,2011,0,Kids Fiction,Original Screenplay,Digital Animation,Comedy,English,"for some rude humor, action and scary images.",PG,Wide,316,7
58540115,Inglorious Bastards,Inglourious Basterds,2009,0,Historical Fiction,Original Screenplay,Live Action,Action,English,"For strong graphic violence, language and brief sexuality",R,Wide,316,7
94550115,"Proposal, The",The Proposal,2009,0,Contemporary Fiction,Original Screenplay,Live Action,Romantic Comedy,English,"For sexual content, nudity and language",PG-13,Wide,315,7
14820115,Bolt,Bolt,2008,0,Kids Fiction,Original Screenplay,Digital Animation,Comedy,English,for some mild action and peril,PG,Wide,314,7
85830115,Oceans Thirteen,Ocean's Thirteen,2007,1,Contemporary Fiction,Remake,Live Action,Adventure,English,for brief sensuality,PG-13,Wide,312,7
69440115,Little Fockers,Little Fockers,2010,1,Contemporary Fiction,Original Screenplay,Live Action,Comedy,English,"for mature sexual humor throughout, language and some drug content.",PG-13,Wide,311,7
13690115,"Blind Side, The",The Blind Side,2009,0,Dramatization,Based on Factual Book/Article,Live Action,Drama,English,"For one scene involving brief violence, drug and sexual references",PG-13,Wide,308,7
10210115,Battleship,Battleship,2011,0,Contemporary Fiction,Based on Game,Live Action,Action,English,"for intense sequences of violence, action and destruction, and for language.",PG-13,Wide,304,7
44120115,G.I. Joe,G.I. Joe: The Rise of Cobra,2009,0,Contemporary Fiction,Based on Toy,Animation/Live Action,Action,English,For strong sequences of action violence and mayhem throughout,PG-13,Wide,302,7
54500115,Horton Hears a Who,Horton Hears a Who,2008,0,Fantasy,Based on Fiction Book/Short Story,Digital Animation,Adventure,English,for General Audiences,G,Wide,297,7
105990115,Shutter Island,Shutter Island,2009,0,Historical Fiction,Based on Fiction Book/Short Story,Live Action,Thriller/Suspense,English,"for disturbing violent content, language and some nudity",R,Wide,297,7
101390115,Salt,Salt,2010,0,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense,English,For intense sequences of violence and action.,PG-13,Wide,296,7
141330115,Resident Evil Afterlife,Resident Evil: Afterlife 3D ,2010,1,Science Fiction,Based on Game,Live Action,Horror,English,for sequences of strong violence and language.,R,Wide,296,7
104260115,Sex and the City 2,Sex and the City 2,2010,1,Contemporary Fiction,Based on TV,Live Action,Comedy,English,for some strong sexual content and language,R,Wide,295,7
135180115,Bridesmaids,Bridesmaids,2011,0,Contemporary Fiction,Original Screenplay,Live Action,Comedy,English,"for some strong sexuality, and language throughout.",R,Wide,289,7
38510115,Fantastic Four: Rise of the Silver Surfer,Fantastic Four: Rise of the Silver Surfer,2007,1,Super Hero,Based on Comic/Graphic Novel,Live Action,Action,English,"for sequences of action violence, some mild language and innuendo",PG,Wide,288,7
10770115,Bee Movie,Bee Movie,2007,0,Kids Fiction,Original Screenplay,Digital Animation,Comedy,English,for mild suggestive humor,PG,Wide,288,7
44090115,G-Force,G-Force,2009,0,Kids Fiction,Original Screenplay,Animation/Live Action,Adventure,English,For some mild action and rude humor,PG,Wide,287,7
136670115,John Carter of Mars,John Carter,2011,0,Science Fiction,Based on Fiction Book/Short Story,Live Action,Adventure,English,for intense sequences of violence and action.,PG-13,Wide,281,7
138570115,Tourist The,The Tourist,2010,0,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense,English,for violence and brief strong language.,PG-13,Wide,279,7
146030115,Bourne Legacy The,The Bourne Legacy,2011,1,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Thriller/Suspense,English,for violence and action sequences.,PG-13,Wide,277,7
48940115,Grown Ups,Grown Ups,2010,0,Contemporary Fiction,Original Screenplay,Live Action,Comedy,English,"for crude material including suggestive references, language and some male rear nudity",PG-13,Wide,272,6
139710115,Real Steel,Real Steel,2010,0,Science Fiction,Based on Fiction Book/Short Story,Live Action,Action,English,"for some violence, intense action and brief language.",PG-13,Wide,272,6
70115,"10,000 B.C.","10,000 B.C.",2008,0,Historical Fiction,Original Screenplay,Live Action,Adventure,English,for sequences of intense action and violence,PG-13,Wide,269,6
37340115,"Expendables, The",The Expendables,2010,0,Contemporary Fiction,Original Screenplay,Live Action,Action,English,"For strong action and bloody violence throughout, and for some language.",R,Wide,268,6
4710115,American Gangster,American Gangster,2007,0,Dramatization,Based on Factual Book/Article,Live Action,Drama,English,"for violence, pervasive drug content and language, nudity and sexuality",R,Wide,266,6
58220115,"Incredible Hulk, The",The Incredible Hulk,2008,1,Super Hero,Based on Comic/Graphic Novel,Live Action,Adventure,English,"for sequences of intense action violence, some frightening sci-fi images, and brief suggestive content.",PG-13,Wide,263,6
93940115,"Princess and the Frog, The",The Princess and the Frog,2009,0,Kids Fiction,Based on Fiction Book/Short Story,Hand Animation,Adventure,English,General,G,Expands Wide,263,6
47810115,Gran Torino,Gran Torino,2008,0,Contemporary Fiction,Original Screenplay,Live Action,Drama,English,for language throughout and some violence,R,Expands Wide,262,6
134900115,Knight and Day,Knight and Day,2010,0,Contemporary Fiction,Original Screenplay,Live Action,Action,English,"for sequences of action violence throughout, and brief strong Language",PG-13,Wide,262,6
144820115,Super 8,Super 8,2010,0,Science Fiction,Original Screenplay,Live Action,Thriller/Suspense,English,"for intense sequences of sci-fi action and violence, language and some drug use.",PG-13,Wide,260,6
128520115,Wild Hogs,Wild Hogs,2007,0,Contemporary Fiction,Original Screenplay,Live Action,Comedy,English,"for crude and sexual content, and some violence.",PG-13,Wide,253,6
100890115,Rush Hour 3,Rush Hour 3,2007,1,Contemporary Fiction,Original Screenplay,Live Action,Action,English,"for sequences of action violence, sexual content, nudity and language",PG-13,Wide,253,6
120870115,True Grit (2010),True Grit,2010,0,Historical Fiction,Based on Fiction Book/Short Story,Live Action,Western,English,for some intense sequences of western violence including disturbing images.,PG-13,Wide,252,6
76940115,Michael Jacksons This Is It,Michael Jackson's This Is It,2009,0,Factual,Based on Real Life Events,Live Action,Documentary,English,For some suggestive choreography and scary images,PG,Wide,252,6
53010115,High School Musical 3: Senior Year,High School Musical 3: Senior Year,2008,1,Contemporary Fiction,Based on TV,Live Action,Musical,English,General,G,Wide,251,6
12100115,Bienvenue chez les Ch tis,Bienvenue chez les Ch'tis,2008,0,Contemporary Fiction,Original Screenplay,Live Action,Comedy,English,International - to be excluded,Not Rated,Wide,247,6
96370115,Rango,Rango,2011,0,Kids Fiction,Original Screenplay,Digital Animation,Adventure,English,"for rude humor, language, action and smoking.",PG,Wide,246,6
74690115,Marley and Me,Marley & Me,2008,0,Dramatization,Based on Fiction Book/Short Story,Live Action,Comedy,English,"for thematic material, some suggestive content and language",PG,Wide,244,6
61940115,Journey 3-D,Journey to the Center of the Earth,2008,0,Science Fiction,Based on Fiction Book/Short Story,Live Action,Adventure,English,for intense adventure action and some scary moments,PG,Wide,241,6
49210115,Gullivers Travels (2010),Gulliver's Travels,2010,0,Fantasy,Based on Fiction Book/Short Story,Animation/Live Action,Comedy,English,"for brief rude humor, mild language and action.",PG,Wide,239,6
45420115,Ghost Rider,Ghost Rider,2007,0,Super Hero,Based on Comic/Graphic Novel,Live Action,Action,English,for horror violence and disturbing images.,PG-13,Wide,238,6
138070115,Dark Shadows,Dark Shadows,2011,0,Fantasy,Based on TV,Live Action,Black Comedy,English,"for comic horror violence, sexual content, some drug use, language and smoking.",PG-13,Wide,237,6
135720115,"Girl with the Dragon Tattoo, The",The Girl with the Dragon Tattoo,2011,0,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Thriller/Suspense,English,"for brutal violent content including rape and torture, strong sexuality, graphic nudity, and language.",R,Wide,233,6
28270115,"Day the Earth Stood Still, The",The Day the Earth Stood Still,2008,0,Science Fiction,Remake,Live Action,Adventure,English,for some sci-fi disaster images and violence,PG-13,Wide,233,6
62420115,Juno,Juno,2007,0,Contemporary Fiction,Original Screenplay,Live Action,Comedy,English,"for mature thematic material, sexual content and language",PG-13,Exclusive,231,6
79880115,Mr. Beans Holiday,Mr. Bean's Holiday,2007,1,Contemporary Fiction,Based on TV,Live Action,Comedy,English,"(edited version, originally rated PG)",G,Wide,230,6
45210115,Get Smart,Get Smart,2008,0,Contemporary Fiction,Based on TV,Live Action,Comedy,English,"for some rude humor, action violence and language",PG-13,Wide,229,6
48480115,"Green Hornet, The",The Green Hornet,2010,0,Super Hero,Based on TV,Live Action,Action,English,"for sequences of violent action, language, sensuality and drug content.",PG-13,Wide,228,6
130860115,Yes Man,Yes Man,2008,0,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Comedy,English,"for crude sexual humor, language and brief nudity",PG-13,Wide,226,6
90310115,Percy Jackson and the Lightning Thief,Percy Jackson & the Olympians: The Lightning Thief,2010,0,Fantasy,Based on Fiction Book/Short Story,Live Action,Adventure,English,"for action violence and peril, some scary images and suggestive material, and mild language",PG,Wide,226,6
114940115,Taken,Taken,2009,0,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense,English,"for intense sequences of violence, disturbing thematic material, sexual content, some drug references and language",PG-13,Wide,225,6
59990115,Its Complicated,It's Complicated,2009,0,Contemporary Fiction,Original Screenplay,Live Action,Romantic Comedy,English,For some drug content and sexuality,R,Wide,225,6
108340115,"Social Network, The",The Social Network,2010,0,Dramatization,Based on Real Life Events,Live Action,Drama,English,"for sexual content, drug and alcohol use and language.",PG-13,Wide,225,6
62310115,Jumper,Jumper,2008,0,Science Fiction,Based on Fiction Book/Short Story,Live Action,Adventure,English,"for sequences of intense action violence, some language and brief sexuality",PG-13,Wide,223,6
48490115,Green Lantern,Green Lantern,2011,0,Super Hero,Based on Comic/Graphic Novel,Animation/Live Action,Action,English,For sequences of sci-fi action violence,PG-13,Wide,222,6
64970115,Knocked Up,Knocked Up,2007,0,Contemporary Fiction,Original Screenplay,Live Action,Romantic Comedy,English,"for sexual content, drug use and language",R,Wide,219,6
